duplicate	How do I install Ubuntu?	How can I install 12.04.2?
duplicate	What hardware does Ubuntu Touch support?	Is Ubuntu Touch compatible with my Tablet?
non-duplicate	Download just one file from a package	How to capture from HDMI with Ubuntu?
non-duplicate	I am not able to delete a corrupt NTFS  partition on my pen drive. How can I force its deletion?	Install problems on a Compaq Presario CQ50
non-duplicate	Unable to install java on my ubuntu	how to fix locale error
non-duplicate	Determine CD/DVD burn date	How do I share a folder to the public?
duplicate	Installing Ubuntu 13.04 after installing Windows 8	windows boot loader does not detect ubnutu
duplicate	How do I remove a malformed line from my sources.list?	Malformed line 6 in source list /ect/apt/sources.list when trying to fix software center
non-duplicate	Eclipse(CDT) - cant find source at	How to install Ubuntu in Microsoft Virtual PC?
non-duplicate	Install postgresql. Unmet dependencie " postgresql-common"	Integrated webcam isnt working at all ubuntu 14.04 x64
non-duplicate	Installing Xubuntu on a 4 GB storage device (Eee PC 701)	How to remove keyboard indicator?
duplicate	What's the difference between the nvidia-current, and nvidia-current-updates packages?  	What's difference between version-current and post-release updates for Nvidia drivers?
duplicate	How do I recover my accidentally lost Windows partitions after installing Ubuntu?	How to recover data from a drive that was erased during the Ubuntu installation?
duplicate	Is a NVIDIA GeForce with Optimus Technology supported by Ubuntu?	How do I get Nvidia GT650M working?
non-duplicate	Why can't I set group and ownership of one folder without afffecting the other?	Ubuntu-Studio Plug-ins GUI broken in Ardour
duplicate	Dropbox error - 'echo 100000 | sudo tee / proc/sys/fs/inotify/max_user_watches'	Dropbox gives an error message when starting up but then it disappears
non-duplicate	I can't see the Software Source in Dash	Reliance Netconnect+ in Ubuntu
duplicate	Why can't I install Ubuntu or Wubi on a Windows Dynamic Disk?	Why didn't 12.04 install?
non-duplicate	will ubuntu work after my windows 7 be inactivated?	Which packages write /etc/lsb-release and /etc/issue?
duplicate	How do I add a kernel boot parameter?	How to edit Kernel parameters
non-duplicate	Unity 3d not working after Ubuntu 12.04 upgrade	install open icon library in ubuntu 10.04
non-duplicate	Screen blurry, overflows visible area in Gnome classic on Ubuntu 11.10	Thinkpad t440p wireless network controller
non-duplicate	How to boot up from usb?	PyGTK TextBuffer adding Tags and reading text
non-duplicate	Laptop won't start after unsuccessful hibernation	Google Chrome installation, Dependency is not satisfiable:lib32gcc1
non-duplicate	Install Ubuntu 10.10 on Virtual Machine	Failed to get complete update in my Ubuntu 12.04
duplicate	How do I install and use the latest version of GNOME?	Can't Install "Gnome Shell" 
duplicate	graphics.h, conio.h and dos.h not working in gcc	C compiling issue : fatal error: conio.h: No such file or directory
duplicate	Desktop forgets theme?	dist-upgrade to natty set gnome theme to old gtk look
non-duplicate	Can't enable 3rd monitor in ubuntu 13.10 fresh install	Ubuntu 13.10 does not boot after succesful installation: 'all boot options are tried'
non-duplicate	How do I get an HP 1018 laser printer to work on 12.04?	How do I use lightscribe when burning CDs and DVDs?
duplicate	Installing Ubuntu on a Pre-Installed Windows 8 (64-bit) System (UEFI Supported)	Ubuntu / Windows: to boot one or other I have to manually change os mode selection
duplicate	How do I mark a file as executable via a GUI?	How do I mark a file as executable on 13.04?
duplicate	Is a NVIDIA GeForce with Optimus Technology supported by Ubuntu?	Unity fails to load with nvidia-current with a NVIDIA GeForce GT 520M
non-duplicate	Graphics quality degrades when logging in	How to get the host machine hostname from the virtualmachine?
duplicate	How to set up an APT repository?	How to setup an apt server
non-duplicate	Execute command on Gnu Screen attachment	Wifi/Ethernet Not detecting/connecting on 14.04
non-duplicate	How Ubuntu kernel (3.12) did not trigger realtek 8169 issue?	How do I use LVM with 12.10 when I already have Windows 8?
duplicate	Can I skip over releases when upgrading?	How do I update from 12.4 to 13.04?? Macbook alu 2008
non-duplicate	Can i copy a machine from VirtualBox	Unwanted dialog when clicking link to download file
duplicate	How can I make notifications appear on a specific monitor?	move notify-OSD location
duplicate	How can I change the size of Unity 2D launcher icons?	How to reduce Dock bar size?
duplicate	What good CAD programs are available?	Is it possible to install AutoCad or an alternative on Ubuntu?
non-duplicate	How to upgrade my iPhone 4 to iOS7 from Ubuntu 14.04?	Arcade Cabinets and Ubuntu legalities
non-duplicate	Wubi Error Executing command	What packages do I install for ffmpeg and libmp3lame?
non-duplicate	touchpad is not detected in ubuntu 14.04 on acer aspire one AO756	fwupd to update OCZ RevoDrive firmware gets a 'Permission denied' error
duplicate	How do I completely remove Ubuntu?	How do I remove ubuntu 12.04 completely
non-duplicate	How do I add a user to the "sudo" group?	Bluetooth Adapter Not Found-ASUS X43U
duplicate	What is "dist-upgrade" and why does it upgrade more than "upgrade"?	What is the difference between apt-get upgrade and apt-get dist-upgrade?
duplicate	Touch screen support Asus EP121	Does Ubuntu support touchscreen laptops?
non-duplicate	Modify KDE Desktop theme	Completely uninstall/reinstall Eclipse and add support for php and jquery
non-duplicate	Send invites email to people in this file	Freshclam error
duplicate	How do I install and select cursor themes?	Created X11 cursor. How do I install to 12.04?
non-duplicate	Will removing Nvidia Drivers cause any harm?	Scroll unfocused window under mouse
non-duplicate	installing XAMPP error	I changed my .xinitrc file and can't log into Ubuntu, how to fix it?
duplicate	Why don't I have the option ''Install Ubuntu alongside with them''	Installing Ubuntu alongside Windows 7
duplicate	How can I fix a 404 Error when updating packages?	partial upgrade problem
duplicate	Is a NVIDIA GeForce with Optimus Technology supported by Ubuntu?	How do I get Geforce 540m switchable graphics working?
duplicate	What would be the differences between a persistent USB Live Session and a installed Ubuntu in a USB drive?	automatic Boot up from USB
duplicate	Why do I get a reboot instead of a shutdown?	Ubuntu 12.04 Precise only reboots does not SHUT-DOWN
duplicate	How to solve "Extra junk at end of file" when using apt?	How to configure proxy settings "syntax error *extra junk at end of file"
duplicate	How can I edit a picture into an existing PDF file?	Inserting an Image into a PDF
non-duplicate	How do I install Ubuntu on a USB Flash Drive?	One-way syncing through Ubuntu One
duplicate	What is the easiest way to resolve apt-get BADSIG GPG errors?	How to fix GPG error for extras.ubuntu.com oneiric Release?
duplicate	How can I install Ubuntu without removing Windows?	How can i install Ubuntu (NOT WUBI!) without delete Windows
non-duplicate	Install package along with all the dependencies offline	windows 8 + Ubuntu dual boot
non-duplicate	Ubuntu 13.10 and DAC problems	Ubuntu 14.04 won't connect to internet thru ethernet
duplicate	Why is "No new release found" when upgrading from a LTS to the next?	When I enter the command 'sudo do-release-upgrade' into terminal, the response is: 'No new release found'
duplicate	How to move Ubuntu installation to new drive	Is there anyway for to bring installed programs from one ubuntu pc to another?
duplicate	How do I install Ubuntu to a USB key? (without using Startup Disk Creator)	I have windows 8 and windows 7 can i install ubuntu to a usb normally
non-duplicate	Error during install Ubuntu 12.10 gnome remix and Ubuntu 12.10. Ubiquity unable to create a directory	Redirect requests mapped to a DNS IP Address
duplicate	Does "old" rsh exist in Ubuntu?	How to install rsh in Ubuntu?
duplicate	How can I get apt to use a mirror close to me, or choose a faster mirror?	"fastestmirror" like plugin for Ubuntu?
duplicate	Accidently installed grub to usb	No option to boot Ubuntu in a dual-boot system
duplicate	How do I add and remove the Workspace Switcher launcher from the Unity launcher?	Is there a way to disable the workspace switcher in unity launcher?
non-duplicate	Are there any unwanted gnome libraries for a unity user?	Browser or Apache2 does not see files: “server software is running but no content has been added”
non-duplicate	Get information about a video from command-line tool	No network devices on Ubuntu 13.10
duplicate	How to use Airtel 4G LTE Dongle with Ubuntu?	I am using UBUNTU 13.04 not able to install airtel 4G LTE dongle
non-duplicate	Finding out what filesystem a casper-rw file is formated with?	monodevelop doesn't find xsp4 web server although it is installed/running
duplicate	post installation /home partition	How about a separate partition for home?
duplicate	How do I fix a "Problem with MergeList" or "status file could not be parsed" error when trying to do an update?	Error in "Update Manager"
duplicate	What is the equivalent of an "exe file"?	The basic apps installer extension
duplicate	Terminal command to set audio volume?	How to increase or decrease system volume from terminal?
